jersey,name,pos,height,weight,age,team,yos,predraft_team,draft_status,nationality
95,Juan Toscano-Anderson,F,78,209,28,Golden State Warriors,1,Marquette,"2015 NBA Draft, Undrafted ",United States Mexico
66,Axel Toupane,SG,79,197,28,Milwaukee Bucks,2,Strasbourg IG (France),"2014 NBA Draft, Undrafted ",France
32,Karl-Anthony Towns,C,84,248,25,Minnesota Timberwolves,5,Kentucky,2015 Rnd 1 Pick 1,United States Dominican Republic
33,"Gary Trent, Jr. ",SG,78,205,22,Toronto Raptors,2,Duke,2018 Rnd 2 Pick 7,United States
17,P.J. Tucker,SF,78,245,36,Milwaukee Bucks,9,Texas,2006 Rnd 2 Pick 5,United States
9,Rayjon Tucker,SF,77,210,23,Philadelphia Sixers,1,Little Rock,"2019 NBA Draft, Undrafted ",United States
33,Myles Turner,FC,73,250,25,Indiana Pacers,5,Texas,2015 Rnd 1 Pick 11,United States
17,Jonas Valanciunas,C,84,265,28,Memphis Grizzlies,8,Lietuvos Rytas (Lithuania),2011 Rnd 1 Pick 5,Lithuania
45,Denzel Valentine,F,78,220,27,Chicago Bulls,4,Michigan State,2016 Rnd 1 Pick 14,United States
23,Fred VanVleet,G,72,195,27,Toronto Raptors,4,Wichita State,"2016 NBA Draft, Undrafted ",United States
3,Jarred Vanderbilt,PF,81,214,22,Minnesota Timberwolves,2,Kentucky,2018 Rnd 2 Pick 11,United States
24,Devin Vassell,SG,79,195,20,San Antonio Spurs,0,Florida State,2020 Rnd 1 Pick 11,United States
2,Gabe Vincent,G,75,200,24,Miami Heat,1,UC Santa Barbara,"2018 NBA Draft, Undrafted ",United States Nigeria
9,Nikola Vucevic,PF,84,260,30,Chicago Bulls,9,USC,2011 Rnd 1 Pick 16,Switzerland Montenegro
32,Dean Wade,PF,73,228,24,Cleveland Cavaliers,1,Kansas State,"2019 NBA Draft, Undrafted ",United States
21,Moe Wagner,PF,73,245,24,Orlando Magic,2,Michigan,2018 Rnd 1 Pick 25,Germany
8,Kemba Walker,G,72,184,30,Boston Celtics,9,Connecticut,2011 Rnd 1 Pick 9,United States
1,Lonnie Walker,SG,77,205,22,San Antonio Spurs,2,Miami (FL),2018 Rnd 1 Pick 18,United States
1,John Wall,PG,76,210,30,Houston Rockets,10,Kentucky,2010 Rnd 1 Pick 1,United States
9,Brad Wanamaker,SG,75,210,31,Charlotte Hornets,2,Pittsburgh,"2011 NBA Draft, Undrafted ",United States
1,T.J. Warren,F,80,215,27,Indiana Pacers,6,NC State,2014 Rnd 1 Pick 14,United States
25,P.J. Washington,PF,79,236,22,Charlotte Hornets,1,Kentucky,2019 Rnd 1 Pick 12,United States
18,Yuta Watanabe,F,81,205,26,Toronto Raptors,2,George Washington,"2018 NBA Draft, Undrafted ",Japan
51,Tremont Waters,PG,61,175,23,Boston Celtics,1,LSU,2019 Rnd 2 Pick 21,United States
5,Paul Watson,GF,78,210,26,Toronto Raptors,1,Fresno State,"2017 NBA Draft, Undrafted ",United States
15,Quinndary Weatherspoon,SG,76,205,24,San Antonio Spurs,1,Mississippi State,2019 Rnd 2 Pick 19,United States
4,Russell Westbrook,G,75,200,32,Washington Wizards,12,UCLA,2008 Rnd 1 Pick 4,United States
0,Coby White,PG,77,195,21,Chicago Bulls,1,North Carolina,2019 Rnd 1 Pick 7,United States
4,Derrick White,G,76,195,26,San Antonio Spurs,3,Colorado,2017 Rnd 1 Pick 29,United States
20,Hassan Whiteside,C,85,265,31,Sacramento Kings,8,Marshall,2010 Rnd 2 Pick 3,United States
22,Andrew Wiggins,F,80,194,26,Golden State Warriors,6,Kansas,2014 Rnd 1 Pick 1,Canada
40,Grant Williams,SF,78,236,22,Boston Celtics,1,Tennessee,2019 Rnd 1 Pick 22,United States
34,Kenrich Williams,SF,79,210,26,Oklahoma City Thunder,2,Texas Christian,"2018 NBA Draft, Undrafted ",United States
23,Lou Williams,G,73,175,34,Atlanta Hawks,15,South Gwinnett High School (Georgia),2005 Rnd 2 Pick 15,United States
44,Patrick Williams,G,80,225,19,Chicago Bulls,0,Florida State,2020 Rnd 1 Pick 4,United States
44,Robert Williams,PF,80,237,23,Boston Celtics,2,Texas A&M,2018 Rnd 1 Pick 27,United States
1,Zion Williamson,PF,79,285,20,New Orleans Pelicans,1,Duke,2019 Rnd 1 Pick 1,United States
0,D.J. Wilson,F,73,231,25,Houston Rockets,3,Michigan,2017 Rnd 1 Pick 17,United States
9,Dylan Windler,SF,78,199,24,Cleveland Cavaliers,1,Belmont,2019 Rnd 1 Pick 26,United States
